index:ID,chemical,:LABEL
ETCM_XHCF_45,"14(Î‘-Methyl Butyryl)-2E,8E,10E-Atractylentriol",chemical
ETCM_XHCF_46,"14(Î‘-Methyl Butyryl)-2E,8Z,10E-Atractylentriol",chemical
ETCM_XHCF_47,Pulsatiloside A,chemical
ETCM_XHCF_48,Betulinic Acid,chemical
ETCM_XHCF_49,Leontoside B,chemical
ETCM_XHCF_50,Leontoside A,chemical
ETCM_XHCF_51,Calcoside D,chemical
ETCM_XHCF_52,3Î’-Acetoxyolean-12-En-28-Oic Acid,chemical
ETCM_XHCF_53,Anemonol,chemical
ETCM_XHCF_54,Anemosapogenin,chemical
ETCM_XHCF_55,Anemoside A3,chemical
ETCM_XHCF_56,Anemoside B4,chemical
ETCM_XHCF_57,Cauloside A,chemical
ETCM_XHCF_58,Cussosaponin C,chemical
ETCM_XHCF_59,"3Î’,23-Dihydroxy-Lup-20(29)-Ene-28-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_60,"3Î’,23-Dihydroxy-Lup-20(29)-Ene-28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_61,"20,23-Dihydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-Î‘-L-Arabinopyranosyl)Oxy]Lupan-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester",chemical
ETCM_XHCF_62,Hederagenin,chemical
ETCM_XHCF_63,23-Hydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-O-[Î’-D-Glucopyranosyl-(1â†’4)]-Î‘-L-Arabinopyranosyl)Oxy]Lup-20(29)-En-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester,chemical
ETCM_XHCF_64,23-Hydroxy-3Î’-[(O-Î‘-L-Rhamnopyranosyl-(1â†’2)-O-[O-Î’-D-Glucopyranosyl-(1â†’4)-Î’-D-Glucopyranosyl-(1â†’4)]-Î‘-L-Arabinopyranosyl)Oxy]Lup-20(29)-En-28-Oic Acid 28-O-Î‘-L-Rhamnopyranosyl-(1â†’4)-O-Î’-D-Glucopyranosyl-(1â†’6)-Î’-D-Glucopyranosyl Ester,chemical
ETCM_XHCF_65,3-Oxobetulinic Acid,chemical
ETCM_XHCF_66,Pulsatillic Acid,chemical
ETCM_XHCF_67,Pulsatilloside A,chemical
ETCM_XHCF_68,Pulsatilloside B,chemical
ETCM_XHCF_69,Pulsatilloside C,chemical
ETCM_XHCF_70,Ranunculin,chemical
ETCM_XHCF_71,"3-O-Î‘-L-Rhamnopyranosyl (1â†’2)-Î‘-Larabinopyranosyl-3Î’,23-Dihydroxylup-Î”20(29)-En-28-Oic-Acid",chemical
ETCM_XHCF_72,"Acetovanillone,Apocynin",chemical
ETCM_XHCF_73,Atratoglaucoside A,chemical
ETCM_XHCF_74,Atratoglaucoside B,chemical
ETCM_XHCF_75,Atratoside A,chemical
ETCM_XHCF_76,Atratoside B,chemical
ETCM_XHCF_77,Atratoside C,chemical
ETCM_XHCF_78,Atratoside D,chemical
ETCM_XHCF_79,Cynajapogenin A,chemical
ETCM_XHCF_80,Cynatroside B,chemical
ETCM_XHCF_81,"3',4'-Dihydroxyacetophenone",chemical
ETCM_XHCF_82,Glaocogenin C Mono-D-Thevetoside,chemical
ETCM_XHCF_83,Glaucogenin C 3-O-Î’-D-Cymaropyranosyl-(1â†’4)-Î‘-L-Diginopyranosyl-(1â†’4)-Î’-D-Thevetopyranoside,chemical
ETCM_XHCF_84,"2,6,2',6'-Tetramethoxy-4,4'-Bis(2,3-Epoxy-1-Hydroxypropyl)Biphenyl",chemical
ETCM_XHCF_85,"Campesterol,M-Cresol",chemical
ETCM_XHCF_86,Dasycarpamine,chemical
ETCM_XHCF_87,Dictamnine,chemical
ETCM_XHCF_88,Dictamnoside A,chemical
ETCM_XHCF_89,Dictamnoside B,chemical
ETCM_XHCF_90,Dictamnoside G,chemical
ETCM_XHCF_91,Dictamnoside H,chemical
ETCM_XHCF_92,Dictamnoside I,chemical
ETCM_XHCF_93,Dictamnoside J,chemical
ETCM_XHCF_94,Dictamnoside K,chemical
ETCM_XHCF_95,Dictamnoside L,chemical
ETCM_XHCF_96,Dictamnoside M,chemical
ETCM_XHCF_97,Dictamnoside N,chemical
ETCM_XHCF_98,Evodol,chemical
ETCM_XHCF_99,Î“-Fagarine,chemical
ETCM_XHCF_100,Fraxinellone,chemical
ETCM_XHCF_101,Isomaculosidine,chemical
ETCM_XHCF_102,Kihadanin B,chemical
ETCM_XHCF_103,Obaculactone,chemical
ETCM_XHCF_104,Obacunoic Acid,chemical
ETCM_XHCF_105,Pregnenolone,chemical
ETCM_XHCF_106,Preskimmianine,chemical
ETCM_XHCF_107,Skimmianine,chemical
ETCM_XHCF_108,"Asparagine,Trigonelline",chemical
ETCM_XHCF_109,Scopolin,chemical
ETCM_XHCF_110,Byakangelicin,chemical
ETCM_XHCF_111,Byakangelicol,chemical
ETCM_XHCF_112,Xanthotoxol,chemical
ETCM_XHCF_113,"Aspartate,Asparagic Acid,Asparaginic Acid,Aspartic Acid,Skimmin",chemical
ETCM_XHCF_114,Bergapten,chemical
ETCM_XHCF_115,"Adenosine,Adenine Nucleoside",chemical
ETCM_XHCF_116,Neobyakangelicol,chemical
ETCM_XHCF_117,Neobyakangelicol,chemical
ETCM_XHCF_118,Alloimperatorin,chemical
ETCM_XHCF_119,Alloisoimperatorin,chemical
ETCM_XHCF_120,"Angelicin,Isopsoralen",chemical
ETCM_XHCF_121,Aviprin,chemical
ETCM_XHCF_122,Byakangelicin,chemical
ETCM_XHCF_123,Dahuribirin A,chemical
ETCM_XHCF_124,Dahuribirin B,chemical
ETCM_XHCF_125,Dahuribirin C,chemical
ETCM_XHCF_126,Dahuribirin D,chemical
ETCM_XHCF_127,Dahuribirin E,chemical
ETCM_XHCF_128,Dahuribirin F,chemical
ETCM_XHCF_129,Dahuribirin G,chemical
ETCM_XHCF_130,7-Demethylsuberosin,chemical
ETCM_XHCF_131,"1,1-Dimethyl-2-(3-Methyl-1,3-Butadiene)Cyclo-Propane",chemical
ETCM_XHCF_132,Ethyllaurate,chemical
ETCM_XHCF_133,Exaltolide,chemical
ETCM_XHCF_134,1-Heptadecanol,chemical
ETCM_XHCF_135,Imperatorin,chemical
ETCM_XHCF_136,Isoimperatorin,chemical
ETCM_XHCF_137,Marmesin,chemical
ETCM_XHCF_138,Methyl Cyclodecane,chemical
ETCM_XHCF_139,Methylene Tanshinquinone,chemical
ETCM_XHCF_140,13-Methyl Pentadecanoic Acid,chemical
ETCM_XHCF_141,1-Monolinolein,chemical
ETCM_XHCF_142,Nodakenin,chemical
ETCM_XHCF_143,8-Nonenoic Acid,chemical
ETCM_XHCF_144,Nonyl Cyclopropane,chemical
ETCM_XHCF_145,Octadecanol,chemical
ETCM_XHCF_146,9(Z)-Octadecen-1-Ol,chemical
ETCM_XHCF_147,(+)-Oxypeucedanin,chemical
ETCM_XHCF_148,Oxypeucedanin Methanolate,chemical
ETCM_XHCF_149,Pabulenol,chemical
ETCM_XHCF_150,1-Pentadecene,chemical
ETCM_XHCF_151,Î’-Phellandrene,chemical
ETCM_XHCF_152,Sen-Byakangelicol,chemical
ETCM_XHCF_153,1-Tetradecanol,chemical
ETCM_XHCF_154,1-Tetradecene,chemical
ETCM_XHCF_155,Tridecanoic Acid,chemical
ETCM_XHCF_156,Undecene,chemical
ETCM_XHCF_157,10-Undecenoic Acid,chemical
ETCM_XHCF_158,"Acetic Acid,Propionic Acid",chemical
ETCM_XHCF_159,Stemonidine,chemical
ETCM_XHCF_160,Isostemonamine,chemical
ETCM_XHCF_161,Oxotuberostemonine,chemical
ETCM_XHCF_162,Stemofoline,chemical
ETCM_XHCF_163,Stemofoline,chemical
ETCM_XHCF_164,Hordenine,chemical
ETCM_XHCF_165,Didehydrotuberostemonine,chemical
ETCM_XHCF_166,Epi-Bisdehydrotuberostemonine J,chemical
ETCM_XHCF_167,Isostemotinine,chemical
ETCM_XHCF_168,Isotuberostemonine,chemical
ETCM_XHCF_169,Malic Acid,chemical
ETCM_XHCF_170,Neostenine,chemical
ETCM_XHCF_171,Neotuberostemonine,chemical
ETCM_XHCF_172,Oxotuberostemonine,chemical
ETCM_XHCF_173,Oxotuberostemonine Ii,chemical
ETCM_XHCF_174,Stemonine,chemical
ETCM_XHCF_175,Stemotinine,chemical
ETCM_XHCF_176,Stenine,chemical
ETCM_XHCF_177,Tuberostemoenone,chemical
ETCM_XHCF_178,Tuberostemonine,chemical
ETCM_XHCF_179,Tuberostemonine H,chemical
ETCM_XHCF_180,Tuberostemonine J,chemical
ETCM_XHCF_181,Tuberostemonol,chemical
ETCM_XHCF_182,Tuberostemonone,chemical
ETCM_XHCF_183,Tuberostemospironine,chemical
ETCM_XHCF_184,Dihydropinosylvin,chemical
ETCM_XHCF_185,4'-Methylpinosylvin,chemical
ETCM_XHCF_186,Pinosylvin,chemical
ETCM_XHCF_187,Protostemonine,chemical
ETCM_XHCF_188,Stemanthrene A,chemical
ETCM_XHCF_189,Stemanthrene B,chemical
ETCM_XHCF_190,Stemanthrene C,chemical
ETCM_XHCF_191,Stemanthrene D,chemical
ETCM_XHCF_192,Stilbostemin B,chemical
ETCM_XHCF_193,Stilbostemin D,chemical
ETCM_XHCF_194,Stilbostemin E,chemical
ETCM_XHCF_195,Stilbostemin G,chemical
ETCM_XHCF_196,Dehydroprotostemonine,chemical
ETCM_XHCF_197,2'-Hydroxystemofoline,chemical
ETCM_XHCF_198,Oxyprotostemonine,chemical
ETCM_XHCF_199,Oxystemokerrin,chemical
ETCM_XHCF_200,Oxystemokerrin-N-Oxide,chemical
ETCM_XHCF_201,Stemocochinin,chemical
ETCM_XHCF_202,Parvistemonine,chemical
ETCM_XHCF_203,Pyridostemin,chemical
ETCM_XHCF_204,Lilioside C,chemical
ETCM_XHCF_205,Regaloside A,chemical
ETCM_XHCF_206,Regaloside A,chemical
ETCM_XHCF_207,Brownioside,chemical
ETCM_XHCF_208,Colchicine,chemical
ETCM_XHCF_209,Emodin,chemical
ETCM_XHCF_210,"26-O-Î’-D-Glucopyranosyl-3Î’,26-Dihydroxy-Î”5-Choleslen-16,22-Dioxo-3-O-Î‘-L-Rhamnopyranosyl-(1â†’2)-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_211,Neohyacinthoside,chemical
ETCM_XHCF_212,Regaloside D,chemical
ETCM_XHCF_213,Solasodine 3-O-Î‘-L-Rhamnopyranosyl (1â†’2)-O-[Î’-D-Glucopyranosyl (1â†’4)]-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_214,Cyanidin-3-O-Î’-Rutinoside-7-O-Î’-Glucoside,chemical
ETCM_XHCF_215,"15,16-Bisnor-13-Oxo-8(17),11E-Labdadien-19-Oic Acid",chemical
ETCM_XHCF_216,"15,16-Bisnor-13-Oxo-8(17)-Labden-19-Oic Acid",chemical
ETCM_XHCF_217,"Ent-Isopimara-15-En-Î‘,Î‘-Diol",chemical
ETCM_XHCF_218,(10S)-15-Methoxypinusolidic Acid,chemical
ETCM_XHCF_219,Pinusolide,chemical
ETCM_XHCF_220,"14,15,16-Trisnor-8(17)-Labdene-13,19-Dioic Acid",chemical
ETCM_XHCF_221,Epigoitrin,chemical
ETCM_XHCF_222,Indoxyl-Î’-Glucoside,chemical
ETCM_XHCF_223,Indirubin,chemical
ETCM_XHCF_224,Indirubin,chemical
ETCM_XHCF_225,Gamma-Aminobutyric Acid,chemical
ETCM_XHCF_226,Î’-N-Butyl-D-Tagatopyranoside,chemical
ETCM_XHCF_227,"2,3-Dihydro-4-Hydroxy-2-Indole-3-Acetonitrile",chemical
ETCM_XHCF_228,"(E)-3-(3',5'-Dimethoxy-4'-Hydroxybenzylidene)-2-Indolinone",chemical
ETCM_XHCF_229,3-(2'-Hydroxyphenyl)-4-(3H)-Quinazolinone,chemical
ETCM_XHCF_230,Indigotiisocoumarin A,chemical
ETCM_XHCF_231,Indigotin,chemical
ETCM_XHCF_232,Indole-3-Acetonitrile-6-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_233,(E)-2-[(3'-Indole)Cyanomethylene]-3-Indolinone,chemical
ETCM_XHCF_234,Isaindigodione,chemical
ETCM_XHCF_235,Isaindigotidione,chemical
ETCM_XHCF_236,Isatin,chemical
ETCM_XHCF_237,Kinetin,chemical
ETCM_XHCF_238,Sinalbine,chemical
ETCM_XHCF_239,Sinigrin,chemical
ETCM_XHCF_240,"Beta-Sitosterol,Î“-Sitosterol",chemical
ETCM_XHCF_241,"4-(1,2,3-Trihydroxypropyl)-2,6-Dimethoxyphenyl-1-O-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_242,Tryptanthrine,chemical
ETCM_XHCF_243,P-Hydroxybenzoic Acid,chemical
ETCM_XHCF_244,Isolobelanine,chemical
ETCM_XHCF_245,Lobelanidine,chemical
ETCM_XHCF_246,Lobelanine,chemical
ETCM_XHCF_247,Lobeline,chemical
ETCM_XHCF_248,Lobelinin A,chemical
ETCM_XHCF_249,Radicamine A,chemical
ETCM_XHCF_250,Radicamine B,chemical
ETCM_XHCF_251,3-Acetamino-5-Methyl Isooxazole,chemical
ETCM_XHCF_252,"Butylethylene Ether,Hexanal",chemical
ETCM_XHCF_253,2-Undecanone,chemical
ETCM_XHCF_254,Pentaldehyde Oxime,chemical
ETCM_XHCF_255,2-Methylpyrazine,chemical
ETCM_XHCF_256,1-Octene,chemical
ETCM_XHCF_257,Homogentisic Acid,chemical
ETCM_XHCF_258,"12,13-Epoxy-9-Hydroxynonadeca-7,10-Dienoic Acid",chemical
ETCM_XHCF_259,Benzaldehyde,chemical
ETCM_XHCF_260,Anethole,chemical
ETCM_XHCF_261,"Citral,Neral",chemical
ETCM_XHCF_262,Shogaol,chemical
ETCM_XHCF_263,Î‘-Aminobutyric Acid,chemical
ETCM_XHCF_264,Î’-Aminobutyric Acid,chemical
ETCM_XHCF_265,Baicalin,chemical
ETCM_XHCF_266,Baicalein,chemical
ETCM_XHCF_267,"D-Pseudoephedrine,Ephedrine,Pseudoephedrine",chemical
ETCM_XHCF_268,Methyl-2-Chloropropenoate,chemical
ETCM_XHCF_269,Î’-Aminobutyric Acid,chemical
ETCM_XHCF_270,Bis(4-Hydroxybenzyl)Ether,chemical
ETCM_XHCF_271,Choline,chemical
ETCM_XHCF_272,Coniine,chemical
ETCM_XHCF_273,Ephedrine,chemical
ETCM_XHCF_274,"1-O-Î’-D-Glucopyranosyl-(2S,3R,4E,11E)-2-(2'R-Hydroxyhexadecenoylamino)-4,11-Octadecadiene-1,3-Diol",chemical
ETCM_XHCF_275,Guanosine,chemical
ETCM_XHCF_276,9-Heptadecanol,chemical
ETCM_XHCF_277,Homogentisic Acid,chemical
ETCM_XHCF_278,Methyl 2-Chloropropenoate,chemical
ETCM_XHCF_279,3-Methyl Eicosane,chemical
ETCM_XHCF_280,1-Octene,chemical
ETCM_XHCF_281,"1,5-Pentadiol",chemical
ETCM_XHCF_282,Pentaldehyde Oxime,chemical
ETCM_XHCF_283,Protocatechuic Aldehyde,chemical
ETCM_XHCF_284,Carthamidin,chemical
ETCM_XHCF_285,P-Hydroxybenzyl Acetone,chemical
ETCM_XHCF_286,"7-Hydroxy-5,8-Dimethoxyflavone",chemical
ETCM_XHCF_287,"4'-Hydroxywogonin,5,7-Dihydroxy-8-Methoxylflavone",chemical
ETCM_XHCF_288,Rivularin,chemical
ETCM_XHCF_289,Scutellarein,chemical
ETCM_XHCF_290,Scutellarin,chemical
ETCM_XHCF_291,Wogonin,chemical
ETCM_XHCF_292,Decyl Acetate,chemical
ETCM_XHCF_293,Menthyl Acetate,chemical
ETCM_XHCF_294,Menthyl Acetate,chemical
ETCM_XHCF_295,"1-(3,4-Dihydroxyphenyl)-6,7-Dihydroxy-1,2-Dihydronaphthalene-2,3-Dicarboxylic Acid",chemical
ETCM_XHCF_296,2-Hexanol,chemical
ETCM_XHCF_297,2-Hexanol,chemical
ETCM_XHCF_298,Asparagine,chemical
ETCM_XHCF_299,3-Pentanol,chemical
ETCM_XHCF_300,3-Octanol,chemical
ETCM_XHCF_301,Methyl Benzoate,chemical
ETCM_XHCF_302,"Isomenthone,L-Menthone",chemical
ETCM_XHCF_303,Menthol,chemical
ETCM_XHCF_304,Menthol,chemical
ETCM_XHCF_305,Isoraifolin,chemical
ETCM_XHCF_306,D-8-Acetoxycarvotanacetone,chemical
ETCM_XHCF_307,"1,3-Bis-[2-(3,4-Dihydroxyphenyl)-1-Carboxy]Ethoxycarbonyl-2-(3,4-Dihydroxyphenyl)-7,8-Dihydroxy-1,2-Dihydronaphthalene",chemical
ETCM_XHCF_308,"1,3-Bis-[2-(3,4-Dihydroxyphenyl)-1-Methoxycarbonyl]Ethoxycarbonyl-2-(3,4-Dihydroxyphenyl)-7,8-Dihydroxy-1,2-Dihydronaphthalene",chemical
ETCM_XHCF_309,D-Camphene,chemical
ETCM_XHCF_310,Isomenthone,chemical
ETCM_XHCF_311,"5,7,4'-Trihydroxy-6,8,3'-Trimethoxyflavone,Labiatenic Acid,Rosmarinic Acid",chemical
ETCM_XHCF_312,"D-Limonene,Limonene,Dipentene,Î‘-Phellandrene",chemical
ETCM_XHCF_313,"Citronellol,Menthol",chemical
ETCM_XHCF_314,Menthone,chemical
ETCM_XHCF_315,Î‘-Pinene,chemical
ETCM_XHCF_316,Dauricine,chemical
ETCM_XHCF_317,Magnoflorine,chemical
ETCM_XHCF_318,Acutumine,chemical
ETCM_XHCF_319,Stepholidine,chemical
ETCM_XHCF_320,Stepharine,chemical
ETCM_XHCF_321,Sinomenine,chemical
ETCM_XHCF_322,Cheilanthifolin(E),chemical
ETCM_XHCF_323,Bianfugenine,chemical
ETCM_XHCF_324,Menisperine,chemical
ETCM_XHCF_325,Bianfugecine,chemical
ETCM_XHCF_326,Menisporphine,chemical
ETCM_XHCF_327,Bianfugedine,chemical
ETCM_XHCF_328,Daurisoline,chemical
ETCM_XHCF_329,"6,10-Dimethyl-2-Undecanone",chemical
ETCM_XHCF_330,"2,3-Dihydrobenzofuran,Coumaran",chemical
ETCM_XHCF_331,Caryophellene,chemical
ETCM_XHCF_332,Pentatriacontane,chemical
ETCM_XHCF_333,"1,2,4-Trimethylcyclohexane",chemical
ETCM_XHCF_334,Caproic Acid,chemical
ETCM_XHCF_335,Hexanol,chemical
ETCM_XHCF_336,Luteolin,chemical
ETCM_XHCF_337,Î“-Nonalactone,chemical
ETCM_XHCF_338,Isocantleyine,chemical
ETCM_XHCF_339,Nootkatone,chemical
ETCM_XHCF_340,Ascaridole,chemical
ETCM_XHCF_341,"Benzyl Ethyl Alcohol,Phenylethanol",chemical
ETCM_XHCF_342,Pulegone,chemical
ETCM_XHCF_343,Loliolide,chemical
ETCM_XHCF_344,Decanal,chemical
ETCM_XHCF_345,"Geraniol,Sabinene Hydrate",chemical
ETCM_XHCF_346,Guaiol,chemical
ETCM_XHCF_347,Pentylcyclopropane,chemical
ETCM_XHCF_348,Lecithin,chemical
ETCM_XHCF_349,Bergaptin,chemical
ETCM_XHCF_350,Cephalin,chemical
ETCM_XHCF_351,4-[Î’-D-Apiofuranosyl-(1â†’6)-Î’-D-Glucopyranosyloxy]-3-Methoxypropiophenone,chemical
ETCM_XHCF_352,Baihuaqianhuoside,chemical
ETCM_XHCF_353,"Benzyl Alcohol O-Î’-D-Glucopyranoside,Campesterol",chemical
ETCM_XHCF_354,Bergamotin,chemical
ETCM_XHCF_355,Bergaptol-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_356,"Butane-2,3-Diol 2-O-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_357,Citrusin A,chemical
ETCM_XHCF_358,Corchoionoside A,chemical
ETCM_XHCF_359,Crenulatin,chemical
ETCM_XHCF_360,1-Deoxy-D-Lyxitol,chemical
ETCM_XHCF_361,2-Deoxy-D-Ribitol1,chemical
ETCM_XHCF_362,"3,7-Dimethyloct-3(10)-Ene-1,2,6,7-Tetrol",chemical
ETCM_XHCF_363,"(2S,6Î–)-3,7-Dimethyloct-3(10)-Ene-1,2,6,7-Tetrol 1-O-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_364,Erythritol,chemical
ETCM_XHCF_365,Ethyl Î’-D-Glucopyranoside,chemical
ETCM_XHCF_366,Glehlinoside A,chemical
ETCM_XHCF_367,Glehlinoside B,chemical
ETCM_XHCF_368,Glehlinoside C,chemical
ETCM_XHCF_369,4'-Hydroxyimperatorin 4'-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_370,(3R')-Hydroxymarmesin 4'-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_371,"(3R)-2-Hydroxymethylbutane-1,2,3,4-Tetrol",chemical
ETCM_XHCF_372,Icariside F2,chemical
ETCM_XHCF_373,Isobutyl Î’-D-Glucopyranoside,chemical
ETCM_XHCF_374,Isopropyl Î’-D-Apiofuranosyl-(1â†’6)-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_375,Isopropyl Î’-D-Glucopyranoside,chemical
ETCM_XHCF_376,Junipediol A 29-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_377,Marmesinin,chemical
ETCM_XHCF_378,"Trans-P-Menthane-1Î‘,2Î’,8-Triol",chemical
ETCM_XHCF_379,"(4R)-P-Menth-1-Ene-7,8-Diol 8-O-Î’-D-Glucopyranoside",chemical
ETCM_XHCF_380,"Cis-P-Menth-2-Ene-1Î‘,7,8-Triol",chemical
ETCM_XHCF_381,"Trans-P-Menth-2-Ene-1Î‘,7,8-Triol",chemical
ETCM_XHCF_382,Osthenol-7-O-Î’-Gentiobioside,chemical
ETCM_XHCF_383,Oxymarmesinin 5'-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_384,Phenethyl Î’-D-Glucopyranoside,chemical
ETCM_XHCF_385,Picraquassioside A,chemical
ETCM_XHCF_386,Psoralen,chemical
ETCM_XHCF_387,(X{2212})-Secoisolariciresinol,chemical
ETCM_XHCF_388,(X{2212})-Secoisolariciresinol 4-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_389,(D)-Threitol,chemical
ETCM_XHCF_390,Uridine,chemical
ETCM_XHCF_391,Vanillic Acid,chemical
ETCM_XHCF_392,Xanthotoxol 8-O-Î’-D-Glucopyranoside,chemical
ETCM_XHCF_393,"1-[1-Oxo-9(3,4-Methylenedioxyphenyl)-2E,8E- Nonadienyl] Piperidine,Pipernonaline",chemical
ETCM_XHCF_394,Dehydropipernonaline,chemical
ETCM_XHCF_395,"Pipercide,Retrofractamide B",chemical
ETCM_XHCF_396,Guineensine,chemical
ETCM_XHCF_397,Hexadecane,chemical
ETCM_XHCF_398,N-Isobutyldeca-Trans-2-Trans-4-Dienamide,chemical
ETCM_XHCF_399,Laurotetanine,chemical
ETCM_XHCF_400,Piperidine,chemical
ETCM_XHCF_401,Piperine,chemical
ETCM_XHCF_402,Piperlonguminine,chemical
ETCM_XHCF_403,Piperundecalidine,chemical
ETCM_XHCF_404,"Piperlonguminine,Piplartine",chemical
ETCM_XHCF_405,Sesamin,chemical
ETCM_XHCF_406,Sylvatine,chemical
ETCM_XHCF_407,Tetrahydropiperic Acid,chemical
ETCM_XHCF_408,"1-Undecylenyl-3,4-Methylenedioxybenzene",chemical
ETCM_XHCF_409,Dihydroclusin,chemical
ETCM_XHCF_410,"Crotepoxide,Futoxide",chemical
ETCM_XHCF_411,Bicyclosesquiphellandrene,chemical
ETCM_XHCF_412,Bicyclosesquiphellandrene,chemical
ETCM_XHCF_413,Clusin,chemical
ETCM_XHCF_414,Cubebinin,chemical
ETCM_XHCF_415,Piperenol A,chemical
ETCM_XHCF_416,Heterotropan,chemical
ETCM_XHCF_417,Heterotropan,chemical
ETCM_XHCF_418,"Isoasarone,Î‘-Asarone",chemical
ETCM_XHCF_419,"Asaronaldehyde,Asarylaldehyde",chemical
ETCM_XHCF_420,"(E)-Citral,3,7-Dimethylocta-2,6-Dienal,Citral-B",chemical
ETCM_XHCF_421,(X{2212})-Clusin,chemical
ETCM_XHCF_422,Cubeben Camphor,chemical
ETCM_XHCF_423,Î‘-Cubebene,chemical
ETCM_XHCF_424,Cubebin,chemical
ETCM_XHCF_425,(X{2212})-Cubebinin,chemical
ETCM_XHCF_426,(X{2212})-Cubebininolide,chemical
ETCM_XHCF_427,Cubebinolide,chemical
ETCM_XHCF_428,Dihydroanhydropodorhizol,chemical
ETCM_XHCF_429,(X{2212})-Dihydroclusin,chemical
ETCM_XHCF_430,Dihydrocubebin,chemical
ETCM_XHCF_431,"(1Î‘,2Î’,5Î‘,8Î‘10Î‘)-1,10-Epoxy-2-Hydroxy-3,7(11)-Guaiadien-12,8-Olide",chemical
