index:ID,Disease_Name,:LABEL
ETCM_disease_id_185,Abnormality Of The Cerebral Vasculature,disease
ETCM_disease_id_186,Abnormality Of The Cerebral White Matter,disease
ETCM_disease_id_187,Abnormality Of The Cerebrum,disease
ETCM_disease_id_188,Abnormality Of The Coagulation Cascade,disease
ETCM_disease_id_189,Abnormality Of The Corticospinal Tract,disease
ETCM_disease_id_190,Abnormality Of The Duodenum,disease
ETCM_disease_id_191,Abnormality Of The Ear,disease
ETCM_disease_id_192,Abnormality Of The Elbow,disease
ETCM_disease_id_193,Abnormality Of The Endocrine System,disease
ETCM_disease_id_194,Abnormality Of The Extraocular Muscles,disease
ETCM_disease_id_195,Abnormality Of The Face,disease
ETCM_disease_id_196,Abnormality Of The Fallopian Tube,disease
ETCM_disease_id_197,Abnormality Of The Fingernails,disease
ETCM_disease_id_198,Abnormality Of The Fontanelles Or Cranial Sutures,disease
ETCM_disease_id_199,Abnormality Of The Forearm,disease
ETCM_disease_id_200,Abnormality Of The Gallbladder,disease
ETCM_disease_id_201,Abnormality Of The Gastric Mucosa,disease
ETCM_disease_id_202,Abnormality Of The Genital System,disease
ETCM_disease_id_203,Abnormality Of The Genitourinary System,disease
ETCM_disease_id_204,Abnormality Of The Gingiva,disease
ETCM_disease_id_205,Abnormality Of The Head,disease
ETCM_disease_id_206,Abnormality Of The Humerus,disease
ETCM_disease_id_207,Abnormality Of The Immune System,disease
ETCM_disease_id_208,Abnormality Of The Intervertebral Disk,disease
ETCM_disease_id_209,Abnormality Of The Intrinsic Pathway,disease
ETCM_disease_id_210,Abnormality Of The Kidney,disease
ETCM_disease_id_211,Abnormality Of The Knee,disease
ETCM_disease_id_212,Abnormality Of The Labia,disease
ETCM_disease_id_213,Abnormality Of The Larynx,disease
ETCM_disease_id_214,Abnormality Of The Leydig Cells,disease
ETCM_disease_id_215,Abnormality Of The Liver,disease
ETCM_disease_id_216,Abnormality Of The Lower Limb,disease
ETCM_disease_id_217,Abnormality Of The Lymph Nodes,disease
ETCM_disease_id_218,Abnormality Of The Lymphatic System,disease
ETCM_disease_id_219,Abnormality Of The Menstrual Cycle,disease
ETCM_disease_id_220,Abnormality Of The Mitochondrion,disease
ETCM_disease_id_221,Abnormality Of The Mouth,disease
ETCM_disease_id_222,Abnormality Of The Musculature,disease
ETCM_disease_id_223,Abnormality Of The Neck,disease
ETCM_disease_id_224,Abnormality Of The Nervous System,disease
ETCM_disease_id_225,Abnormality Of The Nose,disease
ETCM_disease_id_226,Abnormality Of The Optic Nerve,disease
ETCM_disease_id_227,Abnormality Of The Pancreas,disease
ETCM_disease_id_228,Abnormality Of The Pancreatic Islet Cells,disease
ETCM_disease_id_229,Abnormality Of The Patella,disease
ETCM_disease_id_230,Abnormality Of The Penis,disease
ETCM_disease_id_231,Abnormality Of The Periosteum,disease
ETCM_disease_id_232,Abnormality Of The Peritoneum,disease
ETCM_disease_id_233,Abnormality Of The Periventricular White Matter,disease
ETCM_disease_id_234,Abnormality Of The Pharynx,disease
ETCM_disease_id_235,Abnormality Of The Philtrum,disease
ETCM_disease_id_236,Abnormality Of The Pleura,disease
ETCM_disease_id_237,Abnormality Of The Renal Collecting System,disease
ETCM_disease_id_238,Abnormality Of The Respiratory System,disease
ETCM_disease_id_239,Abnormality Of The Retinal Vasculature,disease
ETCM_disease_id_240,Abnormality Of The Sacroiliac Joint,disease
ETCM_disease_id_241,Abnormality Of The Scrotum,disease
ETCM_disease_id_242,Abnormality Of The Sense Of Smell,disease
ETCM_disease_id_243,Abnormality Of The Shoulder,disease
ETCM_disease_id_244,Abnormality Of The Small Intestine,disease
ETCM_disease_id_245,Abnormality Of The Spinal Cord,disease
ETCM_disease_id_246,Abnormality Of The Spinocerebellar Tracts,disease
ETCM_disease_id_247,Abnormality Of The Spleen,disease
ETCM_disease_id_248,Abnormality Of The Stomach,disease
ETCM_disease_id_249,Abnormality Of The Testis,disease
ETCM_disease_id_250,Abnormality Of The Tongue,disease
ETCM_disease_id_251,Abnormality Of The Tonsils,disease
ETCM_disease_id_252,Abnormality Of The Upper Urinary Tract,disease
ETCM_disease_id_253,Abnormality Of The Urinary System,disease
ETCM_disease_id_254,Abnormality Of The Uterus,disease
ETCM_disease_id_255,Abnormality Of The Vasculature,disease
ETCM_disease_id_256,Abnormality Of The Vertebral Spinous Processes,disease
ETCM_disease_id_257,Abnormality Of The Wrist,disease
ETCM_disease_id_258,Abnormality Of Thyroid Physiology,disease
ETCM_disease_id_259,Abnormality Of Tryptophan Metabolism,disease
ETCM_disease_id_260,Abnormality Of Tyrosine Metabolism,disease
ETCM_disease_id_261,Abnormality Of Vision,disease
ETCM_disease_id_262,Abnormality Of Visual Evoked Potentials,disease
ETCM_disease_id_263,Abnormality Of Vitamin A Metabolism,disease
ETCM_disease_id_264,Abnormality Of Vitamin D Metabolism,disease
ETCM_disease_id_265,Abnormality Of Vitamin E Metabolism,disease
ETCM_disease_id_266,Abnormality Of Vitamin Metabolism,disease
ETCM_disease_id_267,Abnormality Of Zinc Homeostasis,disease
ETCM_disease_id_268,Absence Of Acoustic Reflex,disease
ETCM_disease_id_269,Absence Of Alpha Granules,disease
ETCM_disease_id_270,Absence Of Bactericidal Oxidative Respiratory Burst In Phagocytes,disease
ETCM_disease_id_271,Absence Of Cd8-Positive T Cells,disease
ETCM_disease_id_272,Absence Of Intrinsic Factor,disease
ETCM_disease_id_273,Absence Of Lymph Node Germinal Center,disease
ETCM_disease_id_274,Absence Of Pubertal Development,disease
ETCM_disease_id_275,Absence Of Secondary Sex Characteristics,disease
ETCM_disease_id_276,Absence Of Subcutaneous Fat,disease
ETCM_disease_id_277,Absence Seizures,disease
ETCM_disease_id_278,Absent Achilles Reflex,disease
ETCM_disease_id_279,Absent Axillary Hair,disease
ETCM_disease_id_280,Absent Eyebrow,disease
ETCM_disease_id_281,Absent Facial Hair,disease
ETCM_disease_id_282,Absent Microvilli On The Surface Of Peripheral Blood Lymphocytes,disease
ETCM_disease_id_283,Absent Muscle Fiber Merosin,disease
ETCM_disease_id_284,Absent Nipple,disease
ETCM_disease_id_285,Absent Pigmentation Of The Ventral Chest,disease
ETCM_disease_id_286,Absent Pubertal Growth Spurt,disease
ETCM_disease_id_287,Absent Pubic Hair,disease
ETCM_disease_id_288,Absent Specific Antibody Response,disease
ETCM_disease_id_289,Absent Urinary Urothione,disease
ETCM_disease_id_290,Abulia,disease
ETCM_disease_id_291,Acanthocytosis,disease
ETCM_disease_id_292,Acanthosis Nigricans,disease
ETCM_disease_id_293,Accelerated Atherosclerosis,disease
ETCM_disease_id_294,Accelerated Bone Age After Puberty,disease
ETCM_disease_id_295,Accelerated Skeletal Maturation,disease
ETCM_disease_id_296,Achalasia,disease
ETCM_disease_id_297,Acholic Stools,disease
ETCM_disease_id_298,Acid-Related Diseases,disease
ETCM_disease_id_299,Aciduria,disease
ETCM_disease_id_300,Acne,disease
ETCM_disease_id_301,Acne Inversa,disease
ETCM_disease_id_302,Acne Vulgaris,disease
ETCM_disease_id_303,Acral Blistering,disease
ETCM_disease_id_304,Acral Ulceration,disease
ETCM_disease_id_305,Acrocyanosis,disease
ETCM_disease_id_306,Acrodermatitis,disease
ETCM_disease_id_307,Acromegaly,disease
ETCM_disease_id_308,"Acth Syndrome, Ectopic",disease
ETCM_disease_id_309,Action Tremor,disease
ETCM_disease_id_310,Activating Thyroid-Stimulating Hormone Receptor Defect,disease
ETCM_disease_id_311,Acute Allograft Rejection,disease
ETCM_disease_id_312,Acute And Chronic Graft-Versus-Host Disease,disease
ETCM_disease_id_313,Acute Cardiac Allograft Rejection,disease
ETCM_disease_id_314,Acute Coronary Syndromes,disease
ETCM_disease_id_315,Acute Demyelinating Polyneuropathy,disease
ETCM_disease_id_316,Acute Episodes Of Neuropathic Symptoms,disease
ETCM_disease_id_317,Acute Graft-Versus-Host Disease,disease
ETCM_disease_id_318,Acute Hepatic Failure,disease
ETCM_disease_id_319,Acute Hepatic Steatosis,disease
ETCM_disease_id_320,Acute Hepatitis,disease
ETCM_disease_id_321,Acute Hyperammonaemia,disease
ETCM_disease_id_322,Acute Kidney Injury,disease
ETCM_disease_id_323,Acute Leukaemia,disease
ETCM_disease_id_324,Acute Liver Failure,disease
ETCM_disease_id_325,Acute Lung Injury,disease
ETCM_disease_id_326,Acute Lymphoblastic Leukaemia,disease
ETCM_disease_id_327,Acute Migraine,disease
ETCM_disease_id_328,Acute Non-Lymphocytic Leukaemia,disease
ETCM_disease_id_329,Acute Otitis Media,disease
ETCM_disease_id_330,Acute Pancreatitis,disease
ETCM_disease_id_331,Acute Radiation Syndrome,disease
ETCM_disease_id_332,Acute Respiratory Distress Syndrome,disease
ETCM_disease_id_333,Acute Tubular Necrosis,disease
ETCM_disease_id_334,Acute Ureteric Colic,disease
ETCM_disease_id_335,Acutecoronary Syndrome,disease
ETCM_disease_id_336,Acutely Decompensated Congestive Heart Failure,disease
ETCM_disease_id_337,Adductor Longus Contractures,disease
ETCM_disease_id_338,Adenocarcinoma,disease
ETCM_disease_id_339,Adenocarcinoma Of Lung (Disorder),disease
ETCM_disease_id_340,Adenoma,disease
ETCM_disease_id_341,Adenoma Sebaceum,disease
ETCM_disease_id_342,Adenomatous Colonic Polyposis,disease
ETCM_disease_id_343,Adenomatous Polyposis,disease
ETCM_disease_id_344,Adipose Tissue Loss,disease
ETCM_disease_id_345,Adrenal Calcification,disease
ETCM_disease_id_346,Adrenal Gland Dysgenesis,disease
ETCM_disease_id_347,Adrenal Hyperplasia,disease
ETCM_disease_id_348,Adrenal Pheochromocytoma,disease
ETCM_disease_id_349,Adrenocortical Adenoma,disease
ETCM_disease_id_350,Adrenocortical Carcinoma,disease
ETCM_disease_id_351,Adrenocortical Cytomegaly,disease
ETCM_disease_id_352,Adrenocortical Tumour,disease
ETCM_disease_id_353,Adrenocorticotrophic Hormone-Secreting Pituitary Tumor,disease
ETCM_disease_id_354,Adrenocorticotrophic Hormone-Secreting Tumor,disease
ETCM_disease_id_355,Adrenocorticotropic Hormone Deficiency,disease
ETCM_disease_id_356,Adrenocorticotropic Hormone Excess,disease
ETCM_disease_id_357,Adrenocorticotropin Deficient Adrenal Insufficiency,disease
ETCM_disease_id_358,Adrenocorticotropin Receptor Defect,disease
ETCM_disease_id_359,Adult-Onset Night Blindness,disease
ETCM_disease_id_360,Adult Onset,disease
ETCM_disease_id_361,Adult Onset Sensorineural Hearing Impairment,disease
ETCM_disease_id_362,Adult Respiratory Distress Syndrome,disease
ETCM_disease_id_363,Advanced Eruption Of Teeth,disease
ETCM_disease_id_364,Advanced Lung Cancer,disease
ETCM_disease_id_365,Advanced Melanoma,disease
ETCM_disease_id_366,Advanced Non-Small Cell Lung Cancer,disease
ETCM_disease_id_367,Advanced Ossification Of Carpal Bones,disease
ETCM_disease_id_368,Advanced Prostate Cancer,disease
ETCM_disease_id_369,Adverse Effects In Chemotherapy,disease
ETCM_disease_id_370,Adverse Reaction To Drug,disease
ETCM_disease_id_371,"Affective Disorders, Psychotic",disease
ETCM_disease_id_372,African Trypanosomiasis,disease
ETCM_disease_id_373,Aganglionic Megacolon,disease
ETCM_disease_id_374,Age-Related Macular Degeneration,disease
ETCM_disease_id_375,Aggregation And Activation Of Platelets,disease
ETCM_disease_id_376,Aggressive Behavior,disease
ETCM_disease_id_377,Agitation,disease
ETCM_disease_id_378,Agnosia,disease
ETCM_disease_id_379,Agraphesthesia,disease
ETCM_disease_id_380,Aids-Related Kaposi's Sarcoma,disease
ETCM_disease_id_381,Aids Related Dementia,disease
ETCM_disease_id_382,Airway Hyperreactivity In Asthma,disease
ETCM_disease_id_383,Akinesia,disease
ETCM_disease_id_384,Akinetic Mutism,disease
ETCM_disease_id_385,Albinism,disease
ETCM_disease_id_386,Albuminuria,disease
ETCM_disease_id_387,Alcohol-Related Disorders,disease
ETCM_disease_id_388,Alcohol Abuse,disease
ETCM_disease_id_389,Alcohol Dependence,disease
ETCM_disease_id_390,Alcohol Withdrawal Syndrome,disease
ETCM_disease_id_391,Alcoholic Intoxication,disease
ETCM_disease_id_392,"Alcoholic Intoxication, Chronic",disease
ETCM_disease_id_393,Alcoholism,disease
ETCM_disease_id_394,Aldehyde Oxidase Deficiency,disease
ETCM_disease_id_395,Alexia,disease
ETCM_disease_id_396,Alk-Positive Advanced Or Metastatic Nsclc,disease
ETCM_disease_id_397,Alk-Positive Nsclc,disease
ETCM_disease_id_398,Allergen-Triggered Inflammatory Tissue Injury,disease
ETCM_disease_id_399,Allergic Airway Inflammation,disease
ETCM_disease_id_400,Allergic Conjunctivitis,disease
ETCM_disease_id_401,Allergic Diseases,disease
ETCM_disease_id_402,Allergic Inflammation,disease
ETCM_disease_id_403,Allergic Reaction,disease
ETCM_disease_id_404,Allergic Rhinitis,disease
ETCM_disease_id_405,Allergy,disease
ETCM_disease_id_406,Allograft Rejection,disease
ETCM_disease_id_407,Alopecia,disease
ETCM_disease_id_408,Alopecia Areata,disease
ETCM_disease_id_409,Alopecia Of Scalp,disease
ETCM_disease_id_410,Alopecia Totalis,disease
ETCM_disease_id_411,Alopecia Universalis,disease
ETCM_disease_id_412,Alveolar Cell Carcinoma,disease
ETCM_disease_id_413,Alveolar Proteinosis,disease
ETCM_disease_id_414,Alveolar Rhabdomyosarcoma,disease
ETCM_disease_id_415,Alveolar Soft Part Sarcoma,disease
ETCM_disease_id_416,Alzheimer's Disease,disease
ETCM_disease_id_417,Amblyopia,disease
ETCM_disease_id_418,Amebiasis,disease
ETCM_disease_id_419,Amegakaryocytic Thrombocytopenia,disease
ETCM_disease_id_420,Amelogenesis Imperfecta,disease
ETCM_disease_id_421,Amenorrhea,disease
ETCM_disease_id_422,Aminoaciduria,disease
ETCM_disease_id_423,Aminoglycoside-Induced Hearing Loss,disease
ETCM_disease_id_424,Amnesia,disease
ETCM_disease_id_425,Amphetamine-Related Disorders,disease
ETCM_disease_id_426,Amyloid Deposition In The Vitreous Humor,disease
ETCM_disease_id_427,Amyloidosis,disease
ETCM_disease_id_428,Amyoplasia,disease
ETCM_disease_id_429,Amyotrophic Lateral Sclerosis,disease
ETCM_disease_id_430,Amyotrophy Of Ankle Musculature,disease
ETCM_disease_id_431,Anal Atresia,disease
ETCM_disease_id_432,Anal Fistula,disease
ETCM_disease_id_433,Anal Pain,disease
ETCM_disease_id_434,Anal Stenosis,disease
ETCM_disease_id_435,Analgesics,disease
ETCM_disease_id_436,Anaphylactic Reaction,disease
ETCM_disease_id_437,Anaplastic Large Cell Lymphomas,disease
ETCM_disease_id_438,Anarthria,disease
ETCM_disease_id_439,Anasarca,disease
ETCM_disease_id_440,Androgen-Independent Prostate Cancer,disease
ETCM_disease_id_441,Androgen Insufficiency,disease
ETCM_disease_id_442,Anemia,disease
ETCM_disease_id_443,"Anemia, Hemolytic",disease
ETCM_disease_id_444,Anemia Of Inadequate Production,disease
ETCM_disease_id_445,Anemic Pallor,disease
ETCM_disease_id_446,Anergy,disease
ETCM_disease_id_447,Anesthesia,disease
ETCM_disease_id_448,Aneurysm,disease
ETCM_disease_id_449,Angina,disease
ETCM_disease_id_450,Angina Pectoris,disease
ETCM_disease_id_451,Angioedema,disease
ETCM_disease_id_452,"Angioedemas, Hereditary",disease
ETCM_disease_id_453,Angiofibromas,disease
ETCM_disease_id_454,Angiogenesis,disease
ETCM_disease_id_455,Angiokeratoma,disease
ETCM_disease_id_456,Angular Cheilitis,disease
ETCM_disease_id_457,Anhidrosis,disease
ETCM_disease_id_458,Anisocytosis,disease
ETCM_disease_id_459,Ankle Clonus,disease
ETCM_disease_id_460,Ankle Contracture,disease
ETCM_disease_id_461,Ankle Weakness,disease
ETCM_disease_id_462,Ankylosing Spondylitis,disease
ETCM_disease_id_463,Ankylosis,disease
ETCM_disease_id_464,Anodontia,disease
ETCM_disease_id_465,Anomalous Tracheal Cartilage,disease
ETCM_disease_id_466,Anomia,disease
ETCM_disease_id_467,Anoperineal Fistula,disease
ETCM_disease_id_468,Anorexia,disease
ETCM_disease_id_469,Anorexia Nervosa,disease
ETCM_disease_id_470,Anosmia,disease
ETCM_disease_id_471,Antenatal Onset,disease
ETCM_disease_id_472,Anterior Hypopituitarism,disease
