症状,草药
[367],"[676, 833, 834, 846, 936, 1049, 1078, 1082, 1085]"
"[315, 365, 367]","[665, 666]"
[306],"[831, 994]"
[175],"[515, 1049]"
[219],"[827, 831, 897, 964, 1045, 1089]"
[389],[853]
[352],[936]
"[274, 290]","[967, 1047, 1191]"
[276],"[738, 813, 1018]"
[336],"[675, 1138]"
[375],[1095]
[306],"[831, 994]"
[14],"[499, 606]"
[389],"[1029, 1147]"
[336],"[675, 1138]"
[367],"[834, 836, 964, 1089, 1167, 1189]"
[367],"[442, 834, 836, 906, 909, 1049, 1056, 1089, 1097, 1100, 1167]"
[367],"[831, 835, 983, 1049, 1089, 1167]"
[367],[1167]
[246],"[511, 833, 835, 964, 983, 1049, 1089, 1167]"
[367],"[448, 671, 1089, 1167]"
[367],"[909, 936, 1056, 1089, 1167]"
[367],[1167]
[367],"[1023, 1167]"
[344],[664]
[314],"[653, 811, 812, 994, 1060]"
[308],"[857, 936, 937, 1049, 1078, 1153]"
[321],"[645, 817, 819, 907, 915, 925, 994, 1045, 1049, 1056, 1060, 1159]"
[210],[1013]
[262],"[540, 857, 973, 1120]"
[175],"[749, 967]"
"[242, 346]","[569, 1049]"
[236],[1067]
[199],[1067]
[199],"[619, 906]"
[144],"[512, 823]"
[195],"[645, 995]"
[306],"[666, 826, 831, 832, 840, 936, 1016, 1045, 1049, 1056]"
[376],"[934, 935, 936, 938]"
[80],"[839, 922, 935, 937, 938, 939, 1049]"
[271],"[427, 436, 609, 831, 853, 894, 994, 1191]"
"[265, 286, 306]","[818, 1023]"
[144],"[512, 823]"
[299],"[650, 897, 1039, 1048, 1078]"
[326],"[783, 871, 910, 993, 1001, 1013, 1051, 1084, 1122]"
[348],"[817, 828, 834, 894, 1023, 1031, 1045, 1049, 1056, 1067]"
[389],"[629, 828, 831, 839, 907, 1023, 1045, 1056, 1067]"
"[211, 286, 345, 349]","[588, 823, 828, 832, 936, 1005, 1023, 1045, 1049, 1056]"
"[212, 290, 328, 367]","[511, 588, 777, 818, 820, 827, 828, 832, 936, 965, 1005, 1049]"
[147],"[602, 713, 777, 907, 936, 1001, 1030, 1049, 1056, 1067]"
[290],"[824, 827, 828, 829, 831, 835, 936, 994, 1049, 1056]"
"[160, 290, 313, 348]","[629, 831, 834, 835, 880, 894, 897]"
"[246, 257, 276, 286, 376]","[599, 602, 645, 831, 832, 839, 936, 1039, 1049]"
[245],"[629, 831, 839, 840, 1023, 1039, 1048]"
[299],"[650, 897, 1039, 1048, 1078]"
[88],"[862, 865, 912, 913, 953, 954, 958]"
[348],"[665, 666, 777, 1030, 1049, 1056, 1067, 1167]"
"[276, 314, 348, 367]","[643, 645, 666, 831, 907, 936, 994, 1001, 1030, 1045, 1049, 1056, 1067]"
[363],"[934, 936, 1030, 1039, 1042, 1049, 1056, 1067]"
[203],"[602, 815, 817, 831, 964, 995, 1045, 1049, 1056]"
"[266, 328]","[623, 777, 945, 958, 1030, 1067, 1078, 1095, 1100]"
[17],"[605, 817, 819, 820, 907, 967, 1090, 1095, 1100]"
[208],"[427, 519, 602, 645, 915, 936, 1030, 1045, 1049, 1056, 1067, 1081]"
"[265, 363]","[445, 815, 936, 994, 995, 1089, 1119]"
"[241, 286, 306, 357]","[424, 598, 824, 826, 828, 829, 831, 832, 867, 868, 880, 882, 897, 898, 1027, 1028, 1045, 1049, 1056, 1095]"
"[57, 283, 357]","[602, 777, 815, 831, 880, 907, 936, 942, 983, 994, 1001, 1030, 1049, 1056, 1066, 1067]"
"[236, 290]","[586, 907, 994, 995, 1030, 1045, 1049, 1056, 1060, 1067]"
"[126, 286, 306]","[898, 1045, 1049, 1056]"
[306],"[426, 586, 815, 820, 827, 831, 898, 936, 964, 995, 1049, 1056, 1067]"
[203],"[832, 840, 885, 898]"
[305],"[1097, 1191]"
[197],[928]
[262],"[1165, 1180]"
[337],"[417, 602, 643, 644, 645, 646, 654, 812, 868, 936, 994, 1015, 1039, 1074]"
[276],"[815, 831, 834, 846, 909, 936, 986, 987, 995, 1049, 1056, 1119, 1165]"
"[276, 286]","[586, 831, 834, 836, 846, 908, 909, 936, 986, 987, 995, 1049, 1056, 1119, 1165, 1175]"
"[276, 345]","[445, 666, 831, 939, 964, 967, 995, 1039, 1056, 1119, 1153]"
[367],"[816, 819, 824, 831, 832, 882, 888, 897, 1001, 1015, 1031, 1049, 1113]"
"[283, 304, 353]","[426, 936, 1045, 1049, 1056]"
"[352, 363]","[475, 897, 907, 936, 1031]"
[367],"[602, 994]"
[165],"[456, 646, 777, 915, 1039, 1067]"
[165],"[460, 586, 587, 639, 645, 666, 713, 813, 897, 936, 953]"
"[208, 367]","[602, 777, 815, 819, 834, 846, 880, 925, 936, 942, 983, 1031, 1049, 1056, 1067]"
[80],"[813, 934, 936, 994, 1001, 1078]"
"[346, 376]","[817, 836, 907, 936, 1049, 1067, 1159]"
[14],"[601, 934, 935, 994, 1001]"
"[147, 286, 306]","[474, 815, 897, 907, 936, 1030, 1045, 1049, 1056, 1067]"
[207],"[936, 1045, 1049]"
"[283, 357]","[936, 994, 1043, 1056]"
[299],"[834, 840, 1049, 1056, 1067, 1159]"
[299],"[831, 907, 936, 1049, 1056]"
[286],"[597, 817, 831, 1023, 1043, 1056]"
"[208, 308]","[666, 815, 834, 840, 936, 1039, 1042, 1049, 1056]"
[303],"[535, 645, 936, 1049, 1056, 1067]"
[346],"[936, 1049, 1056, 1101]"
[306],"[442, 598, 824, 828, 831, 936, 1023, 1056]"
[202],"[629, 1056]"
[367],"[511, 602, 666, 832, 846, 1049, 1056, 1066, 1089, 1101]"
[246],"[824, 898, 994, 995]"
[286],"[586, 867, 898, 1045, 1159]"
[354],"[828, 898, 995, 1023, 1031, 1045, 1049, 1056]"
[222],"[898, 1049, 1056]"
[306],"[867, 898, 996]"
[299],"[453, 813, 893, 912, 913, 1031, 1067, 1167, 1182]"
[197],[972]
[242],[1191]
"[286, 306]","[828, 875, 979, 995, 1015, 1049]"
[88],"[928, 963, 1020]"
[306],"[1067, 1119, 1174]"
[319],"[867, 880, 971, 973, 1119, 1135]"
[306],"[836, 839, 1049, 1119, 1132]"
[306],"[836, 839, 1049, 1119, 1132]"
"[196, 383]","[598, 698, 868, 880, 898, 1036]"
[52],"[601, 645, 713, 813, 934, 936, 1001]"
[80],"[499, 601, 813, 934, 936, 1001]"
"[330, 363]","[593, 598, 826, 880, 1011, 1042]"
"[330, 363]","[593, 598, 826, 880, 1011, 1042]"
[314],"[827, 907, 965, 1045, 1060, 1067]"
"[274, 369]","[816, 819, 947, 953, 958, 1056]"
"[274, 369]","[816, 819, 947, 953, 958, 1056]"
[308],"[599, 662, 839, 936, 1049, 1056, 1130, 1159, 1167]"
[262],"[995, 1049, 1056, 1095]"
"[14, 259, 345, 357]","[894, 936, 964, 1049, 1056]"
[211],"[666, 805, 819, 820, 936, 961, 1039, 1056]"
"[210, 266]","[535, 666, 820, 837, 936, 1045, 1049, 1056]"
[367],"[602, 831, 936, 995, 1001, 1045, 1049, 1056]"
[367],"[676, 834, 846, 894, 936, 937, 1016, 1049, 1056, 1101, 1189]"
[359],"[602, 831, 836, 839, 987, 994, 1045, 1049, 1056]"
"[274, 348]","[995, 1031, 1045, 1049, 1056, 1101]"
"[241, 276, 286, 306]","[813, 897, 898, 936, 995, 1001, 1030, 1045, 1049, 1056, 1067, 1108]"
"[208, 367]","[676, 842, 853, 1049, 1056, 1089, 1101]"
[299],"[840, 1056]"
"[274, 308, 328]","[813, 934, 936, 994, 1001, 1056]"
"[135, 293, 308]","[936, 1030, 1045, 1056]"
[376],"[934, 936, 1045, 1056]"
[345],"[936, 994, 1030, 1045, 1049, 1056]"
"[274, 290]","[834, 880, 936, 1030, 1049, 1056, 1101]"
"[303, 349]","[1056, 1119]"
[294],"[904, 910, 1030, 1100]"
[369],"[817, 828, 831, 832, 944, 947, 953, 958, 1045, 1056]"
"[62, 303, 348]","[598, 815, 828, 857, 867, 880, 936, 994, 1045, 1049, 1056, 1101]"
[241],"[880, 882, 914, 1027, 1049, 1056, 1108]"
[246],"[463, 832, 880, 922, 934, 936, 937, 1045, 1056, 1078, 1189]"
[208],"[511, 665, 815, 831, 846, 868, 880, 907, 983, 1030, 1045, 1049, 1056, 1067, 1095]"
[312],"[817, 943, 1056]"
[14],"[499, 1056]"
[389],"[427, 816, 817, 819, 907, 947, 953, 958, 1056]"
[199],[1044]
[237],[1049]
[369],"[928, 1044, 1174]"
"[206, 299, 382]","[897, 906]"
[389],"[1029, 1147]"
[299],"[486, 903]"
"[306, 363]","[898, 995]"
[325],"[996, 1003]"
[299],"[486, 903]"
[308],"[666, 964, 1049, 1119, 1159]"
[299],[906]
[328],"[499, 857, 867, 934, 938, 1049, 1119]"
"[195, 348, 372]","[645, 662]"
[28],"[817, 964, 1090, 1119]"
[231],"[858, 1095]"
[88],"[1049, 1119]"
"[217, 367]","[616, 783, 834, 846, 894, 964, 1049]"
[271],[1162]
[197],[486]
[197],"[853, 1097]"
"[80, 246]","[829, 867, 891, 897, 934, 937, 971, 1119, 1175, 1176]"
"[306, 348]","[827, 831, 832, 936, 1045, 1049]"
[363],"[586, 653, 827, 828, 1028, 1045]"
[241],"[448, 815, 827, 832, 894, 1001, 1030, 1039, 1045]"
[299],[906]
[232],"[805, 928]"
[278],"[665, 666, 834, 842, 846, 934, 965, 1039, 1043, 1167]"
[283],"[942, 1043]"
"[266, 328]","[777, 1078, 1082]"
"[305, 367]","[592, 680, 836, 840, 894, 1049, 1078, 1082, 1089, 1100, 1167, 1189]"
[193],"[499, 936, 1078, 1082]"
[193],"[539, 665, 666, 683, 834, 1049, 1165, 1167, 1192]"
"[313, 348]","[820, 1095, 1097]"
"[278, 299, 376]","[994, 1023, 1042, 1043, 1047, 1049, 1130, 1159]"
[371],[1119]
[237],"[665, 666, 1167]"
[193],"[813, 936, 1001, 1011, 1018, 1035, 1045]"
[367],"[511, 602, 832, 833, 839, 936, 964, 1049, 1165, 1167]"
"[283, 349, 367]","[606, 666, 676, 680, 846, 1035, 1089, 1153, 1167]"
[367],"[665, 666, 671, 1056, 1167]"
"[193, 283, 367]","[665, 666, 783, 834, 1049, 1056, 1067, 1090, 1132, 1167]"
"[306, 348]","[827, 831, 832, 936, 1045, 1049]"
[363],"[586, 653, 827, 828, 1028, 1045]"
[57],"[540, 662, 857]"
[88],"[493, 664]"
[232],"[805, 928]"
"[214, 241, 286]","[839, 884, 1028]"
"[14, 203, 286, 306, 367]","[827, 828, 831, 936, 1049]"
[241],"[826, 827, 828, 829, 831, 832, 839, 884, 936, 1027, 1028]"
[363],"[828, 831, 832, 936, 1049]"
[367],"[602, 831, 832, 907, 936, 987, 1030, 1049, 1056, 1066, 1067]"
[363],"[827, 897, 1095]"
[203],"[831, 834, 840, 894, 936, 1049]"
"[286, 306]","[456, 831, 835, 839, 936, 1049]"
[262],"[762, 817, 831, 832, 834, 836, 839, 850, 936, 947, 964, 1095, 1148]"
[306],"[831, 832, 936, 1045, 1056]"
[335],"[456, 831, 936, 1049]"
[295],"[827, 1023, 1045]"
[237],"[665, 666, 1167]"
[367],"[511, 602, 832, 833, 839, 936, 964, 1049, 1165, 1167]"
[175],"[515, 749, 936, 1049, 1067, 1161]"
[328],"[499, 934, 935, 936, 965, 1043, 1049, 1078]"
[124],[838]
[57],"[540, 662, 857]"
[88],"[493, 664]"
"[214, 241, 286]","[839, 884, 1028]"
[241],"[826, 827, 828, 829, 831, 832, 839, 884, 936, 1027, 1028]"
[197],[1165]
[367],"[602, 831, 832, 907, 936, 987, 1030, 1049, 1056, 1066, 1067]"
[262],"[762, 817, 831, 832, 834, 836, 839, 850, 936, 947, 964, 1095, 1148]"
[306],"[831, 832, 936, 1045, 1056]"
"[319, 367]","[584, 865, 1120]"
"[241, 306, 357]","[598, 826, 867, 880, 898, 995, 1001, 1015, 1049]"
[165],"[584, 586, 593, 686, 824, 853, 865, 873, 886, 987, 995, 1095, 1098]"
[352],"[857, 897, 965, 1009, 1030, 1045, 1095]"
[165],"[897, 965, 1030, 1045]"
[212],"[519, 824, 828, 855, 932, 936]"
"[208, 272]","[936, 1043]"
[197],[1165]
[337],"[557, 598, 599, 666, 815, 834, 867, 868, 880, 894, 907, 936, 942, 983, 1030, 1049, 1056, 1067, 1095, 1100, 1108]"
"[241, 269]","[427, 463, 583, 587, 826, 828, 832, 868, 880, 898, 936, 993, 994, 996, 1001, 1011, 1023, 1028, 1045, 1049, 1056, 1105]"
[352],"[857, 897, 965, 1009, 1030, 1045, 1095]"
"[94, 325, 348, 363]","[484, 946, 1119, 1191]"
"[123, 337]","[645, 662, 713, 819, 906, 907, 1023, 1067, 1095, 1108, 1159]"
"[194, 245]","[831, 832, 847, 936, 1049]"
[314],"[400, 460, 530, 586, 601, 897, 927, 1135]"
"[165, 222, 265, 344]","[475, 601, 602, 645, 713, 819, 826, 867, 880, 915, 934, 936, 994, 995, 1031, 1042, 1045, 1056, 1065, 1067, 1081, 1095, 1098]"
"[147, 259, 267]","[602, 620, 777, 815, 829, 831, 832, 834, 867, 880, 888, 907, 936, 942, 983, 1001, 1016, 1030, 1049, 1056, 1066, 1067]"
[295],"[857, 1132]"
[367],"[834, 1089, 1101]"
"[241, 286, 295, 306]","[857, 1023]"
[246],"[891, 931, 934, 1119, 1174, 1175, 1176]"
[242],"[427, 436, 831, 953, 958, 979, 994, 995, 1056]"
[299],"[662, 847, 927, 1106, 1126, 1190]"
"[241, 269]","[427, 463, 583, 587, 826, 828, 832, 868, 880, 898, 936, 993, 994, 996, 1001, 1011, 1023, 1028, 1045, 1049, 1056, 1105]"
[151],"[629, 826, 907, 1030, 1045, 1056, 1065]"
[294],"[901, 906, 1126]"
[299],"[713, 902, 1119, 1127, 1145]"
[299],"[902, 1119, 1121, 1127, 1145]"
"[206, 278, 299]","[486, 906, 1100, 1126, 1160]"
"[165, 222, 265, 344]","[475, 601, 602, 645, 713, 819, 826, 867, 880, 915, 934, 936, 994, 995, 1031, 1042, 1045, 1056, 1065, 1067, 1081, 1095, 1098]"
"[106, 125]","[570, 819, 827, 832, 834, 979, 994, 995, 1001, 1049]"
[267],"[424, 550, 777, 826, 832, 857, 867, 880, 882, 897, 907, 1056, 1067, 1113, 1163]"
[267],"[424, 489, 550, 826, 832, 867, 880, 882, 897, 898, 907, 1108, 1113, 1163]"
[175],"[862, 898, 912, 913, 928, 997, 1044, 1067, 1095, 1162, 1181]"
[269],"[460, 475, 583, 643, 653, 875, 880, 926, 994]"
"[14, 312]","[601, 602, 645, 713, 812, 813, 934, 936, 994, 1001]"
"[208, 267]","[593, 646, 828, 994, 995, 1001, 1039]"
[294],"[418, 643, 645, 813, 897, 915, 936]"
[196],"[813, 936, 1030, 1039, 1042, 1043, 1045, 1056, 1060, 1065, 1067]"
[197],"[912, 913, 928, 963, 964, 965, 1034, 1095, 1182]"
"[14, 193, 246]","[891, 1175, 1176]"
[62],[493]
[267],"[424, 550, 777, 826, 832, 857, 867, 880, 882, 897, 907, 1056, 1067, 1113, 1163]"
[14],[1092]
[290],"[629, 834, 907, 936, 1030, 1045, 1048, 1067]"
[276],"[588, 602, 813, 826, 834, 936, 1045, 1049]"
[197],"[665, 666, 713, 777, 1030, 1049, 1056, 1067, 1167]"
"[193, 246]","[445, 511, 862, 867, 891, 930, 934, 1002, 1174, 1175, 1176]"
"[247, 269, 363]","[474, 832, 868, 880, 888, 897, 898, 934]"
[363],"[867, 868, 882, 886, 894, 936]"
[262],"[455, 590, 620, 686, 816, 820, 824, 828, 853, 862, 865, 868, 873, 880, 898, 907, 909, 912, 913, 928, 929, 930, 937, 961, 987, 1044, 1067, 1089, 1095, 1098, 1138, 1159]"
[88],"[868, 873, 893, 898]"
[88],"[862, 865, 912, 913, 953, 954, 958]"
[371],"[591, 857, 862, 912, 964, 965, 967, 1151, 1181]"
[332],"[699, 827, 858, 862, 865, 991, 1044, 1153]"
"[313, 348, 367]","[820, 832, 897, 907, 1031, 1049, 1095, 1101]"
[389],"[817, 819, 827, 831, 832, 839, 897, 907, 936, 953, 978, 983, 987, 1045, 1049, 1067, 1095, 1100, 1159, 1165]"
"[308, 328]","[463, 834, 907, 910, 937, 1031, 1148]"
[351],"[601, 857, 862, 906, 934, 964, 965, 987, 1056, 1101, 1119]"
[348],"[683, 817, 907, 947, 964, 1049, 1095, 1100, 1148, 1161]"
[262],"[816, 819, 912, 913, 978, 979, 994, 1067]"
[389],"[831, 832, 880, 882, 897, 995, 1045, 1049, 1056, 1067]"
[204],"[645, 817, 907, 936, 994, 1001, 1030, 1045, 1067]"
[89],"[586, 598, 824, 831, 858, 868, 880, 898, 1023]"
[363],"[826, 829, 831, 832, 867, 882, 1016, 1029, 1108, 1113]"
[138],"[817, 827, 978, 979, 1023, 1097]"
"[262, 325, 348]","[486, 898, 987, 989, 993]"
[138],"[557, 623, 816, 817, 819, 907, 947, 978, 979, 1067]"
[363],"[868, 880, 898, 907, 913, 1108, 1113, 1174]"
[204],"[645, 817, 907, 936, 994, 1001, 1030, 1045, 1067]"
[344],"[815, 820, 880, 882, 907, 1030, 1045, 1049, 1056, 1067]"
"[201, 207, 208, 349, 358, 376]","[602, 645, 666, 907, 936, 1001, 1030, 1045, 1049, 1056, 1067]"
[138],"[557, 623, 816, 817, 819, 907, 947, 978, 979, 1067]"
[363],"[868, 880, 898, 907, 913, 1108, 1113, 1174]"
[246],"[629, 683, 907, 936, 1023, 1030, 1045, 1047, 1056, 1067]"
"[290, 376]","[915, 936, 1030, 1045, 1056, 1060, 1065, 1067]"
[344],"[601, 602, 666, 811, 832, 907, 915, 964, 967, 1045, 1049, 1056, 1067]"
"[299, 349, 367, 372]","[897, 908, 1030, 1049, 1078, 1082, 1117, 1126]"
"[349, 367]","[739, 862, 868, 894, 936, 1041, 1049, 1151]"
"[306, 349, 367, 369]","[813, 868, 894, 936, 1041, 1049]"
"[332, 376]","[813, 908, 1042, 1043, 1108, 1113, 1153, 1167]"
[337],"[418, 423, 535, 645, 713, 813, 897, 901, 907, 911, 1030, 1045, 1056, 1067]"
"[10, 338]","[817, 818, 819, 907, 964, 994, 1030, 1049, 1056, 1067, 1100]"
[197],[1042]
[262],"[849, 850, 912, 913, 960, 1187]"
[279],"[806, 989, 1069, 1089]"
[279],"[806, 989, 1069, 1089]"
[306],"[813, 936, 1018, 1045, 1056]"
[197],"[605, 619, 857, 862, 912, 928, 965, 1095, 1122, 1138, 1182]"
[367],"[927, 1190]"
[262],"[865, 898, 1109]"
[295],"[835, 857, 1045]"
[286],"[831, 862, 867]"
[295],"[831, 832, 857]"
[363],"[862, 880]"
[363],"[862, 880]"
[245],"[1056, 1153, 1165]"
[328],"[827, 894, 1167]"
[348],"[967, 1049]"
[329],"[913, 1041]"
"[242, 314, 363]","[1001, 1067]"
"[348, 389]","[817, 821, 1147]"
[197],[1097]
[88],[1119]
[348],[564]
"[348, 389]","[821, 893]"
"[348, 389]","[821, 893]"
"[14, 313]","[601, 665, 817, 936, 964, 994, 1045, 1049, 1067, 1101]"
"[363, 375]","[473, 537, 708, 844, 865, 1011, 1119]"
"[266, 328]","[623, 777, 945, 958, 1030, 1067, 1078, 1095, 1100]"
"[133, 315]","[511, 777, 815, 834, 846, 936, 938, 964, 1045, 1049, 1056, 1067, 1159, 1165, 1167]"
[363],"[598, 898]"
"[241, 286, 306, 363]","[424, 598, 865, 867, 868, 880, 882, 898, 936, 995, 1001, 1045, 1049, 1056]"
[286],"[598, 868, 898, 1056]"
[306],"[598, 898, 994, 996]"
[369],[994]
[322],"[898, 994, 1023]"
[279],"[864, 912, 913, 963, 1181]"
[306],"[426, 587, 824, 898, 936, 993, 994, 1045, 1049, 1056]"
"[241, 286, 306, 363]","[820, 865, 868, 873, 886, 893, 898]"
[354],"[880, 898, 936, 995, 996, 1045, 1056, 1067]"
[330],"[440, 548, 794, 880, 898, 919, 994, 995, 1108, 1113, 1119, 1151]"
[266],"[898, 946, 1044, 1049]"
"[274, 369]","[427, 540, 584, 739, 805, 862, 865, 1044, 1120, 1163]"
[269],"[867, 880, 898, 927, 1045]"
"[241, 286, 322, 330]","[440, 794, 880, 882, 898, 919, 994, 995, 1001, 1108, 1113, 1119, 1135]"
[363],"[875, 898, 996, 1049]"
[241],"[584, 586, 858, 865, 898, 994, 995, 1089]"
[241],"[602, 831, 849, 894, 898, 995, 1041, 1049, 1056]"
[286],"[598, 823, 831, 867, 880, 898]"
"[94, 286]","[858, 865, 880, 898, 920, 1174]"
"[94, 286]","[858, 865, 880, 898, 920, 1174]"
[262],"[541, 828, 898, 977]"
[369],"[831, 898]"
[271],"[865, 898, 1120]"
[363],"[598, 858, 898, 994, 996]"
"[286, 363]","[489, 598, 898, 1174]"
"[348, 363]","[882, 898, 1001, 1016, 1113, 1174]"
[306],"[824, 880, 898, 995, 996, 1049]"
[309],"[898, 1049, 1095]"
"[237, 322]","[898, 1190]"
"[274, 348, 367]","[836, 898, 987, 994, 1045, 1049, 1101]"
[309],"[853, 897, 898]"
[354],"[586, 587, 828, 867, 898, 1023, 1056, 1067]"
[322],"[442, 898, 1056]"
[306],"[824, 828, 831, 894, 898, 936, 995, 1023, 1045, 1049, 1056]"
[306],"[426, 598, 824, 898, 1028, 1045, 1049, 1056, 1067]"
"[203, 266]","[424, 898]"
[89],"[730, 824, 898, 946, 1056]"
[89],"[442, 818, 865, 880, 898, 936, 1049, 1056]"
"[89, 266]","[666, 898, 1049, 1056]"
[306],"[828, 834, 898, 1023, 1045, 1049, 1056]"
[203],"[885, 898, 1049]"
[203],"[885, 898, 1049]"
[306],"[824, 898, 1056]"
[306],[898]
[306],"[823, 880, 898, 936, 995, 1049]"
[322],"[858, 898]"
[109],[898]
